Populasi Sapi Perah menurut Provinsi (Ekor),2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004,2003,2002,2001,2000
Aceh,62,62,90,25,28,31,41,35,32,26,28,82,73,67,61,55
Sumatera Utara,1163,1078,1088,1901,1057,894,2642,2301,2290,2093,6526,6777,6575,6470,6445,6420
Sumatera Barat,891,849,674,1101,646,484,857,826,768,688,608,606,505,488,502,526
Riau,146,140,143,266,228,172,110,122,82,49,27,-,-,-,-,-
Jambi,30,30,64,64,66,81,-,-,-,-,12,-,-,26,-,23
Sumatera Selatan,133,124,95,324,130,154,86,51,59,109,188,250,220,275,302,202
Bengkulu,215,189,190,183,277,247,783,688,599,189,128,214,157,62,-,-
Lampung,463,461,285,268,346,201,140,221,263,230,198,118,112,105,110,106
Kep. Bangka Belitung,175,161,147,408,126,119,109,99,73,40,-,-,-,-,-,-
Kep. Riau,7,7,6,5,-,-,-,-,-,-,-,-,-,-,-,-
DKI Jakarta,2603,2433,2638,2686,2775,2728,3238,2920,3355,3685,3343,3407,3611,3833,4054,3857
Jawa Barat,119287,116400,123140,103832,136054,139970,120475,117337,111250,103489,97367,98958,95513,91219,84934,84788
Jawa Tengah,137434,134670,122566,103794,154398,149931,122489,120677,118424,116260,115158,112155,127658,119026,114915,114834
DI Yogyakarta,4066,4044,3990,4326,3934,3522,3466,5495,5652,5811,7231,7772,6645,4917,4454,4069
Jawa Timur,264905,255947,245246,222910,308841,296350,231408,221743,212322,139277,136497,132789,131827,131262,130922,139075
Banten,22,20,36,31,44,19,28,15,14,7,-,3,37,32,32,0
Bali,0,0,97,142,133,139,127,134,126,105,70,43,28,54,67,67
Nusa Tenggara Barat,0,0,-,18,18,18,-,-,-,-,-,-,-,-,-,-
Nusa Tenggara Timur,49,43,45,39,34,32,-,-,-,-,-,-,-,-,-,-
Kalimantan Barat,43,43,49,169,290,227,72,84,173,33,33,36,14,35,69,50
Kalimantan Tengah,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kalimantan Selatan,345,228,232,156,209,110,112,96,124,135,133,70,79,74,64,59
Kalimantan Timur,117,79,77,28,42,32,24,6,-,-,-,-,-,24,23,25
Kalimantan Utara,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Sulawesi Utara,102,77,88,106,216,22,17,-,-,-,-,-,-,-,-,-
Sulawesi Tengah,10,10,10,10,8,8,-,-,-,-,-,-,-,-,-,-
Sulawesi Selatan,1553,1515,1464,1410,1961,1690,2198,1826,1919,1784,1398,713,602,306,44,25
Sulawesi Tenggara,13,12,9,-,-,-,-,-,-,-,-,-,-,-,-,-
Gorontalo,7,7,13,14,16,8,21,17,17,12,-,-,-,-,-,-
Sulawesi Barat,0,0,32,44,48,13,5,8,5,-,-,-,-,-,-,-
Maluku,0,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Maluku Utara,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Papua Barat,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Papua,19,19,-,5,15,11,-,-,30,45,63,69,97,111,-,72
Indonesia,533860,518649,502516,444266,611940,597213,488448,474701,457577,374067,369008,364062,373753,358386,346998,354253
